File name: LAI_Global_Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Associated  documentation: A Global Database of Field-observed Leaf Area Index in Woody Plant Species, 1932-2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missing numeric values are represented by -9999. Missing text fields are blank cells. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference_number,Publication_year,Overstory_LAI_Original,Understory_LAI_Original,Total_LAI_Original,Source,Definition_overstory,Definition_understory,Definition_total,Conversion_factor_overstory,Conversion_factor_understory,Conversion_factor_total,Overstory_LAI_HSA,Understory_LAI_HSA,Total_LAI_HSA,Element_clumping_index_overstory,Element_clumping_index_total,Needle_clumping_index_overstory,Needle_clumping_index_total,Corrected_overstory_LAI_HSA,Corrected_total_LAI_HSA,Method,Method2,Notes_Method,MAT,MAP,Stand_age,Stand_age2,Dominant_species,PFT1,PFT2,PFT3,PFT4,Vegetation_status,Country,Location,Site,Latitude,Longitude,Altitude,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1992,12.3,-9999,12.3,T1,TSA,,TSA,0.5,-9999,0.5,6.15,-9999,6.15,1,1,1,1,6.15,6.15,D,Allometry,Sapwood area (Kaufmann and Troendle 1981 For Sci),2,740,40,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Natural,USA,"Fraser experimental forest, Colorado",,39.9,-105.8666667,2800,Regeneration from clear cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1992,12.1,-9999,12.1,T1,TSA,,TSA,0.5,-9999,0.5,6.05,-9999,6.05,1,1,1,1,6.05,6.05,D,Allometry,Sapwood area (Kaufmann and Troendle 1981 For Sci),2,740,60,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Natural,USA,"Fraser experimental forest, Colorado",,39.9,-105.8666667,2800,Regeneration from wildfire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1992,7.7,-9999,7.7,T1,TSA,,TSA,0.5,-9999,0.5,3.85,-9999,3.85,1,1,1,1,3.85,3.85,D,Allometry,Sapwood area (Kaufmann and Troendle 1981 For Sci),2,740,245,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Natural,USA,"Fraser experimental forest, Colorado",,39.9,-105.8666667,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1985,1.3,-9999,1.3,T1,TSA,,TSA,0.5,-9999,0.5,0.65,-9999,0.65,1,1,1,1,0.65,0.65,D,Allometry,,,580,17,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Natural,USA,"The Medicine Bow Moutains, southeastern Wyoming",Chimney Park I,41.35833333,-106.3166667,2730,Sparse understory,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1985,8.8,-9999,8.8,T1,TSA,,TSA,0.5,-9999,0.5,4.4,-9999,4.4,1,1,1,1,4.4,4.4,D,Allometry,,,560,110,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Natural,USA,"The Medicine Bow Moutains, southeastern Wyoming",Chimney Park II,41.35833333,-106.3166667,2730,Sparse understory,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1985,7.3,-9999,7.3,T1,TSA,,TSA,0.5,-9999,0.5,3.65,-9999,3.65,1,1,1,1,3.65,3.65,D,Allometry,,,600,110,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Natural,USA,"The Medicine Bow Moutains, southeastern Wyoming",Dry Park I,41.35833333,-106.3166667,2750,Sparse understory,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1985,7.1,-9999,7.1,T1,TSA,,TSA,0.5,-9999,0.5,3.55,-9999,3.55,1,1,1,1,3.55,3.55,D,Allometry,,,630,110,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Natural,USA,"The Medicine Bow Moutains, southeastern Wyoming",Dry Park II,41.35833333,-106.3166667,2750,Sparse understory,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1985,3.9,-9999,3.9,T1,TSA,,TSA,0.5,-9999,0.5,1.95,-9999,1.95,1,1,1,1,1.95,1.95,D,Allometry,,,630,,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Natural,USA,"The Medicine Bow Moutains, southeastern Wyoming",Albany,41.35833333,-106.3166667,2750,Sparse understory,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1985,9.9,-9999,9.9,T1,TSA,,TSA,0.5,-9999,0.5,4.95,-9999,4.95,1,1,1,1,4.95,4.95,D,Allometry,,,660,110,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Natural,USA,"The Medicine Bow Moutains, southeastern Wyoming",Nash Fork,41.35833333,-106.3166667,2900,Sparse understory,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1985,4.5,-9999,4.5,T1,TSA,,TSA,0.5,-9999,0.5,2.25,-9999,2.25,1,1,1,1,2.25,2.25,D,Allometry,,,800,240,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Natural,USA,"The Medicine Bow Moutains, southeastern Wyoming",French Creek,41.35833333,-106.3166667,2970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1985,9,-9999,9,T1,TSA,,TSA,0.5,-9999,0.5,4.5,-9999,4.5,1,1,1,1,4.5,4.5,D,Allometry,,,750,75,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Natural,USA,"The Medicine Bow Moutains, southeastern Wyoming",Rock Creek,41.35833333,-106.3166667,3050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1985,9.1,-9999,9.1,T1,TSA,,TSA,0.5,-9999,0.5,4.55,-9999,4.55,1,1,1,1,4.55,4.55,D,Allometry,,,650,80,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"The Medicine Bow Moutains, southeastern Wyoming",Fox Park,41.35833333,-106.3166667,2775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1999,3.31,2.55,5.86,F4A,PA,PA,PA,1.15,1.15,-9999,3.81,2.93,6.74,1,1,1,1,3.81,6.74,D,Allometry2,Sapwood area,,,34.5,,Picea abies,TREE,GYMNO,CONIF,EVER,Natural,Finland,Vilppula Research Forest,C-54,62.05,24.25,-9999,Regenerated by seed-tree method,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1999,2.43,3.12,5.55,F4A,PA,PA,PA,1.15,1.15,-9999,2.79,3.59,6.38,1,1,1,1,2.79,6.38,D,Allometry2,Sapwood area,,,27.5,,Picea abies,TREE,GYMNO,CONIF,EVER,Natural,Finland,Vilppula Research Forest,C-34,62.05,24.25,-9999,Regenerated by seed-tree method,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1999,1.82,0.17,1.99,F4A,PA,PA,PA,1.28,1.15,-9999,2.32,0.2,2.52,1,1,1,1,2.32,2.52,D,Allometry2,Sapwood area,,,44.5,,"Picea abies, Pinus sylvestris",TREE,GYMNO,CONIF,EVER,Natural,Finland,Vilppula Research Forest,U-C,62.05,24.25,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1995,4.3,-9999,4.3,T1,PA,,PA,1,-9999,1,4.3,-9999,4.3,1,1,1,1,4.3,4.3,D,Litter trap,,12.593,,,,"Quercus spp., Acer spp.",TREE,ANGIO,BROAD,DECID,Natural,USA,"Coweeta Hydrologic Laboratory in southern Appalachians, NorthCarolina",WS2L,35.05,-83.25,740,No human disturbance since logging activities in early 1900's,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1995,4.5,-9999,4.5,T1,PA,,PA,1,-9999,1,4.5,-9999,4.5,1,1,1,1,4.5,4.5,D,Litter trap,,12.054,,,,"Quercus spp., Acer spp.",TREE,ANGIO,BROAD,DECID,Natural,USA,"Coweeta Hydrologic Laboratory in southern Appalachians, NorthCarolina",WS2H,35.05,-83.25,840,No human disturbance since logging activities in early 1900's,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1995,4.7,-9999,4.7,T1,PA,,PA,1,-9999,1,4.7,-9999,4.7,1,1,1,1,4.7,4.7,D,Litter trap,,10.814,,,,"Quercus spp., Acer spp.",TREE,ANGIO,BROAD,DECID,Natural,USA,"Coweeta Hydrologic Laboratory in southern Appalachians, NorthCarolina",WS27L,35.05,-83.25,1070,No human disturbance since logging activities in early 1900's,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1995,5.4,-9999,5.4,T1,PA,,PA,1,-9999,1,5.4,-9999,5.4,1,1,1,1,5.4,5.4,D,Litter trap,,8.873,,,,"Quercus spp., Acer spp.",TREE,ANGIO,BROAD,DECID,Natural,USA,"Coweeta Hydrologic Laboratory in southern Appalachians, NorthCarolina",WS27H,35.05,-83.25,1430,No human disturbance since logging activities in early 1900's,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1995,5.8,-9999,5.8,T2,PA,,PA,1,-9999,1,5.8,-9999,5.8,1,1,1,1,5.8,5.8,D,Litter trap,,11.245,,,,"Quercus spp., Acer spp.",TREE,ANGIO,BROAD,DECID,Natural,USA,"Coweeta Hydrologic Laboratory in southern Appalachians, NorthCarolina",Site 1,35.05,-83.25,990,No human disturbance since logging activities in early 1900's,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1995,4.5,-9999,4.5,T2,PA,,PA,1,-9999,1,4.5,-9999,4.5,1,1,1,1,4.5,4.5,D,Litter trap,,10.2,,,,"Quercus spp., Acer spp.",TREE,ANGIO,BROAD,DECID,Natural,USA,"Coweeta Hydrologic Laboratory in southern Appalachians, NorthCarolina",Site 2,35.05,-83.25,1184,No human disturbance since logging activities in early 1900's,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1995,6.2,-9999,6.2,T2,PA,,PA,1,-9999,1,6.2,-9999,6.2,1,1,1,1,6.2,6.2,D,Litter trap,,12.566,,,,"Quercus spp., Acer spp.",TREE,ANGIO,BROAD,DECID,Natural,USA,"Coweeta Hydrologic Laboratory in southern Appalachians, NorthCarolina",Site 3,35.05,-83.25,745,No human disturbance since logging activities in early 1900's,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1995,7.3,-9999,7.3,T2,PA,,PA,1,-9999,1,7.3,-9999,7.3,1,1,1,1,7.3,7.3,D,Litter trap,,11.24,,,,"Quercus spp., Acer spp.",TREE,ANGIO,BROAD,DECID,Natural,USA,"Coweeta Hydrologic Laboratory in southern Appalachians, NorthCarolina",Site 4,35.05,-83.25,991,No human disturbance since logging activities in early 1900's,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1995,3.9,-9999,3.9,T2,PA,,PA,1,-9999,1,3.9,-9999,3.9,1,1,1,1,3.9,3.9,D,Litter trap,,9.186,,,,"Quercus spp., Acer spp.",TREE,ANGIO,BROAD,DECID,Natural,USA,"Coweeta Hydrologic Laboratory in southern Appalachians, NorthCarolina",Site 5,35.05,-83.25,1372,No human disturbance since logging activities in early 1900's,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2001,4.92,-9999,4.92,T1,PA,,PA,1,-9999,1,4.92,-9999,4.92,1,1,1,1,4.92,4.92,D,Litter trap,,,,,,"Quercus spp., Acer spp.",TREE,ANGIO,BROAD,DECID,Natural,USA,"Ceder Creek Natural History Area, east-central Minnesota",,45.425,-93.194445,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2001,4.55,-9999,4.55,T1,PA,,PA,1,-9999,1,4.55,-9999,4.55,1,1,1,1,4.55,4.55,D,Litter trap,,,,,,"Quercus spp., Acer spp.",TREE,ANGIO,BROAD,DECID,Natural,USA,"Ceder Creek Natural History Area, east-central Minnesota",,45.425,-93.194445,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2001,5.92,-9999,5.92,T1,PA,,PA,1,-9999,1,5.92,-9999,5.92,1,1,1,1,5.92,5.92,D,Litter trap,,,,,,"Quercus spp., Acer spp.",TREE,ANGIO,BROAD,DECID,Natural,USA,"Ceder Creek Natural History Area, east-central Minnesota",,45.425,-93.194445,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2001,4.43,-9999,4.43,T1,PA,,PA,1,-9999,1,4.43,-9999,4.43,1,1,1,1,4.43,4.43,D,Litter trap,,,,,,"Quercus spp., Acer spp.",TREE,ANGIO,BROAD,DECID,Natural,USA,"Ceder Creek Natural History Area, east-central Minnesota",,45.425,-93.194445,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2001,4.31,-9999,4.31,T1,PA,,PA,1,-9999,1,4.31,-9999,4.31,1,1,1,1,4.31,4.31,D,Litter trap,,,,,,"Quercus spp., Acer spp.",TREE,ANGIO,BROAD,DECID,Natural,USA,"Ceder Creek Natural History Area, east-central Minnesota",,45.425,-93.194445,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2001,3.32,-9999,3.32,T1,PA,,PA,1,-9999,1,3.32,-9999,3.32,1,1,1,1,3.32,3.32,D,Litter trap,,,,,,"Quercus spp., Acer spp.",TREE,ANGIO,BROAD,DECID,Natural,USA,"Ceder Creek Natural History Area, east-central Minnesota",,45.425,-93.194445,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2001,5.17,-9999,5.17,T1,PA,,PA,1,-9999,1,5.17,-9999,5.17,1,1,1,1,5.17,5.17,D,Litter trap,,,,,,"Quercus spp., Acer spp.",TREE,ANGIO,BROAD,DECID,Natural,USA,"Ceder Creek Natural History Area, east-central Minnesota",,45.425,-93.194445,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2001,1.88,-9999,1.88,T1,PA,,PA,1,-9999,1,1.88,-9999,1.88,1,1,1,1,1.88,1.88,D,Litter trap,,,,,,"Quercus spp., Acer spp.",TREE,ANGIO,BROAD,DECID,Natural,USA,"Ceder Creek Natural History Area, east-central Minnesota",,45.425,-93.194445,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2001,3.81,-9999,3.81,T1,PA,,PA,1,-9999,1,3.81,-9999,3.81,1,1,1,1,3.81,3.81,D,Litter trap,,,,,,"Quercus spp., Acer spp.",TREE,ANGIO,BROAD,DECID,Natural,USA,"Ceder Creek Natural History Area, east-central Minnesota",,45.425,-93.194445,-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1996,6.9,-9999,6.9,T2,HSA,,HSA,1,-9999,1,6.9,-9999,6.9,1,1,1,1,6.9,6.9,D,Allometry,,,650,14,,Pinus sylvestris,TREE,GYMNO,CONIF,EVER,Plantation,UK,"Thetford forest in East Anglia, England",Santon 5016,52.41666667,0.666666667,50,Trees were sampled after summer needle fall. Summder LAI was estimated with assumption that reduction of LAI by needle fall is 30% of total LAI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1996,5.6,-9999,5.6,T2,HSA,,HSA,1,-9999,1,5.6,-9999,5.6,1,1,1,1,5.6,5.6,D,Allometry,,,650,18,,Pinus sylvestris,TREE,GYMNO,CONIF,EVER,Plantation,UK,"Thetford forest in East Anglia, England",Lynford 4086,52.41666667,0.666666667,50,Trees were sampled after summer needle fall. Summder LAI was estimated with assumption that reduction of LAI by needle fall is 30% of total LAI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1996,6.9,-9999,6.9,T2,HSA,,HSA,1,-9999,1,6.9,-9999,6.9,1,1,1,1,6.9,6.9,D,Allometry,,,650,32,,Pinus sylvestris,TREE,GYMNO,CONIF,EVER,Plantation,UK,"Thetford forest in East Anglia, England",Lynford 4078,52.41666667,0.666666667,50,Trees were sampled after summer needle fall. Summder LAI was estimated with assumption that reduction of LAI by needle fall is 30% of total LAI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1996,7.2,-9999,7.2,T2,HSA,,HSA,1,-9999,1,7.2,-9999,7.2,1,1,1,1,7.2,7.2,D,Allometry,,,650,33,,Pinus sylvestris,TREE,GYMNO,CONIF,EVER,Plantation,UK,"Thetford forest in East Anglia, England",Santon 3047,52.41666667,0.666666667,50,Trees were sampled after summer needle fall. Summder LAI was estimated with assumption that reduction of LAI by needle fall is 30% of total LAI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1996,5.3,-9999,5.3,T2,HSA,,HSA,1,-9999,1,5.3,-9999,5.3,1,1,1,1,5.3,5.3,D,Allometry,,,650,43,,Pinus sylvestris,TREE,GYMNO,CONIF,EVER,Plantation,UK,"Thetford forest in East Anglia, England",Harling 8029,52.41666667,0.666666667,50,Trees were sampled after summer needle fall. Summder LAI was estimated with assumption that reduction of LAI by needle fall is 30% of total LAI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1996,4.9,-9999,4.9,T2,HSA,,HSA,1,-9999,1,4.9,-9999,4.9,1,1,1,1,4.9,4.9,D,Allometry,,,650,46,,Pinus sylvestris,TREE,GYMNO,CONIF,EVER,Plantation,UK,"Thetford forest in East Anglia, England",Lockham 9047,52.41666667,0.666666667,50,Trees were sampled after summer needle fall. Summder LAI was estimated with assumption that reduction of LAI by needle fall is 30% of total LAI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1996,4.1,-9999,4.1,T2,HSA,,HSA,1,-9999,1,4.1,-9999,4.1,1,1,1,1,4.1,4.1,D,Allometry,,,650,58,,Pinus sylvestris,TREE,GYMNO,CONIF,EVER,Plantation,UK,"Thetford forest in East Anglia, England",Croxton 5036,52.41666667,0.666666667,50,Trees were sampled after summer needle fall. Summder LAI was estimated with assumption that reduction of LAI by needle fall is 30% of total LAI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1996,4.2,-9999,4.2,T2,HSA,,HSA,1,-9999,1,4.2,-9999,4.2,1,1,1,1,4.2,4.2,D,Allometry,,,650,59,,Pinus sylvestris,TREE,GYMNO,CONIF,EVER,Plantation,UK,"Thetford forest in East Anglia, England",Harling 8033,52.41666667,0.666666667,50,Trees were sampled after summer needle fall. Summder LAI was estimated with assumption that reduction of LAI by needle fall is 30% of total LAI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1995,2.14,-9999,2.14,T1,PA,,PA,1.4,-9999,1.4,3,-9999,3,1,1,1,1,3,3,D,Allometry,,,650,38,,"Pinus sylvestris, Pinus nigra",TREE,GYMNO,CONIF,EVER,Plantation,UK,"Thetford forest in East Anglia, England",,52.41666667,0.666666667,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1995,2.59,-9999,2.59,T1,PA,,PA,1.4,-9999,1.4,3.63,-9999,3.63,1,1,1,1,3.63,3.63,D,Allometry,,,1500,38,,Pinus sylvestris,TREE,GYMNO,CONIF,EVER,Plantation,UK,Aberfoyle forest in southwestern Scotland,,56.23333333,-4.266666667,150,Frequent waterlogging (riparian),,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,1.5,-9999,1.5,T1,PA,,PA,1.4,-9999,1.4,2.1,-9999,2.1,1,1,1,1,2.1,2.1,D,Allometry2,Sapwood area (Long and Smith 1988),,575,,M,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Bitterroot, Montana",Plot1,46.573055,-114.0466667,1981.5,"No major disturbance in past 15 years, Even-aged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,1.6,-9999,1.6,T1,PA,,PA,1.4,-9999,1.4,2.24,-9999,2.24,1,1,1,1,2.24,2.24,D,Allometry2,Sapwood area (Long and Smith 1988),,575,,M,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Bitterroot, Montana",Plot2,46.573055,-114.0466667,1981.5,"No major disturbance in past 15 years, Even-aged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,1.6,-9999,1.6,T1,PA,,PA,1.4,-9999,1.4,2.24,-9999,2.24,1,1,1,1,2.24,2.24,D,Allometry2,Sapwood area (Long and Smith 1988),,575,,M,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Bitterroot, Montana",Plot3,46.573055,-114.0466667,1981.5,"No major disturbance in past 15 years, Even-aged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,2.1,-9999,2.1,T1,PA,,PA,1.4,-9999,1.4,2.94,-9999,2.94,1,1,1,1,2.94,2.94,D,Allometry2,Sapwood area (Long and Smith 1988),,575,,M,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Bitterroot, Montana",Plot4,46.573055,-114.0466667,1981.5,"No major disturbance in past 15 years, Even-aged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,3.2,0.1,3.3,T1,PA,PA,PA,1.4,1.4,1.4,4.48,0.14,4.62,1,1,1,1,4.48,4.62,D,Allometry2,Sapwood area (Long and Smith 1988),,575,,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Bitterroot, Montana",Plot5,46.573055,-114.0466667,1981.5,"No major disturbance in past 15 years, Multiaged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,2.9,0.1,3,T1,PA,PA,PA,1.4,1.4,1.4,4.06,0.14,4.2,1,1,1,1,4.06,4.2,D,Allometry2,Sapwood area (Long and Smith 1988),,575,,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Bitterroot, Montana",Plot6,46.573055,-114.0466667,1981.5,"No major disturbance in past 15 years, Multiaged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,2.9,0.1,3,T1,PA,PA,PA,1.4,1.4,1.4,4.06,0.14,4.2,1,1,1,1,4.06,4.2,D,Allometry2,Sapwood area (Long and Smith 1988),,575,,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Bitterroot, Montana",Plot7,46.573055,-114.0466667,1981.5,"No major disturbance in past 15 years, Multiaged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,2.8,0.1,2.9,T1,PA,PA,PA,1.4,1.4,1.4,3.92,0.14,4.06,1,1,1,1,3.92,4.06,D,Allometry2,Sapwood area (Long and Smith 1988),,575,,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Bitterroot, Montana",Plot8,46.573055,-114.0466667,1981.5,"No major disturbance in past 15 years, Multiaged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,3.6,0.1,3.7,T1,PA,PA,PA,1.4,1.4,1.4,5.04,0.14,5.18,1,1,1,1,5.04,5.18,D,Allometry2,Sapwood area (Long and Smith 1988),,575,,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Bitterroot, Montana",Plot9,46.573055,-114.0466667,1981.5,"No major disturbance in past 15 years, Multiaged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,2.5,-9999,2.5,T1,PA,,PA,1.4,-9999,1.4,3.5,-9999,3.5,1,1,1,1,3.5,3.5,D,Allometry2,Sapwood area (Long and Smith 1988),,575,,M,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Bitterroot, Montana",Plot10,46.573055,-114.0466667,1981.5,"No major disturbance in past 15 years, Even-aged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,1.6,0.4,2,T1,PA,PA,PA,1.4,1.4,1.4,2.24,0.56,2.8,1,1,1,1,2.24,2.8,D,Allometry2,Sapwood area (Long and Smith 1988),,575,,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Bitterroot, Montana",Plot11,46.573055,-114.0466667,1981.5,"No major disturbance in past 15 years, Multiaged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,0.9,0.4,1.3,T1,PA,PA,PA,1.4,1.4,1.4,1.26,0.56,1.82,1,1,1,1,1.26,1.82,D,Allometry2,Sapwood area (Long and Smith 1988),,575,,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Bitterroot, Montana",Plot12,46.573055,-114.0466667,1981.5,"No major disturbance in past 15 years, Multiaged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,1.8,-9999,1.8,T1,PA,,PA,1.4,-9999,1.4,2.52,-9999,2.52,1,1,1,1,2.52,2.52,D,Allometry2,Sapwood area (Long and Smith 1988),,575,,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Bitterroot, Montana",Plot13,46.573055,-114.0466667,1981.5,"No major disturbance in past 15 years, Multiaged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,2.2,-9999,2.2,T1,PA,,PA,1.4,-9999,1.4,3.08,-9999,3.08,1,1,1,1,3.08,3.08,D,Allometry2,Sapwood area (Long and Smith 1988),,455,,M,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Lubrecht, Montana",Plot14,46.85833333,-113.9833333,1250,"No major disturbance in past 15 years, Even-aged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,1.4,-9999,1.4,T1,PA,,PA,1.4,-9999,1.4,1.96,-9999,1.96,1,1,1,1,1.96,1.96,D,Allometry2,Sapwood area (Long and Smith 1988),,455,,M,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Lubrecht, Montana",Plot15,46.85833333,-113.9833333,1250,"No major disturbance in past 15 years, Even-aged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,1.8,-9999,1.8,T1,PA,,PA,1.4,-9999,1.4,2.52,-9999,2.52,1,1,1,1,2.52,2.52,D,Allometry2,Sapwood area (Long and Smith 1988),,455,,M,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Lubrecht, Montana",Plot16,46.85833333,-113.9833333,1250,"No major disturbance in past 15 years, Even-aged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,2.2,-9999,2.2,T1,PA,,PA,1.4,-9999,1.4,3.08,-9999,3.08,1,1,1,1,3.08,3.08,D,Allometry2,Sapwood area (Long and Smith 1988),,455,,M,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Lubrecht, Montana",Plot17,46.85833333,-113.9833333,1250,"No major disturbance in past 15 years, Even-aged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,2.1,0.1,2.2,T1,PA,PA,PA,1.4,1.4,1.4,2.94,0.14,3.08,1,1,1,1,2.94,3.08,D,Allometry2,Sapwood area (Long and Smith 1988),,455,,,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Lubrecht, Montana",Plot18,46.85833333,-113.9833333,1250,"No major disturbance in past 15 years, Multiaged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,1.2,-9999,1.2,T1,PA,,PA,1.4,-9999,1.4,1.68,-9999,1.68,1,1,1,1,1.68,1.68,D,Allometry2,Sapwood area (Long and Smith 1988),,455,,M,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Lubrecht, Montana",Plot19,46.85833333,-113.9833333,1250,"No major disturbance in past 15 years, Even-aged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1999,2.2,-9999,2.2,T1,PA,,PA,1.4,-9999,1.4,3.08,-9999,3.08,1,1,1,1,3.08,3.08,D,Allometry2,Sapwood area (Long and Smith 1988),,880,,M,Pinus contorta,TREE,GYMNO,CONIF,EVER,Not described,USA,"Tenderfoot, Montana",Plot20,46.925,-110.8916667,2240,"No major disturbance in past 15 years, Even-aged",,,,,,,,,,,,,,,,,,,,,,,,,,,,
